configuration ID,learning_rate,buffer,batch,tau,gamma,Reward,n_eval_episode
0,0.001,1000,32,0.001,0.5,-1352.338412,1
0,0.001,1000,32,0.001,0.5,-1381.263307,2
0,0.001,1000,32,0.001,0.5,-1383.176071,3
0,0.001,1000,32,0.001,0.5,-1494.011277,4
0,0.001,1000,32,0.001,0.5,-1502.690619,5
0,0.001,1000,32,0.001,0.5,-1494.097413,6
0,0.001,1000,32,0.001,0.5,-1466.069358,7
0,0.001,1000,32,0.001,0.5,-1503.107074,8
0,0.001,1000,32,0.001,0.5,-1497.50303,9
0,0.001,1000,32,0.001,0.5,-1513.583289,10
0,0.001,1000,32,0.001,0.5,-1498.22908,11
0,0.001,1000,32,0.001,0.5,-1491.427948,12
0,0.001,1000,32,0.001,0.5,-1469.353129,13
0,0.001,1000,32,0.001,0.5,-1473.61821,14
0,0.001,1000,32,0.001,0.5,-1505.261995,15
0,0.001,1000,32,0.001,0.5,-1386.108243,16
0,0.001,1000,32,0.001,0.5,-1468.464536,17
0,0.001,1000,32,0.001,0.5,-1438.397446,18
0,0.001,1000,32,0.001,0.5,-1492.018057,19
0,0.001,1000,32,0.001,0.5,-1505.215324,20
1,0.001,1000,32,0.001,0.99,-1.710048,1
1,0.001,1000,32,0.001,0.99,-1.524762,2
1,0.001,1000,32,0.001,0.99,-1.734587,3
1,0.001,1000,32,0.001,0.99,-1501.599965,4
1,0.001,1000,32,0.001,0.99,-266.458437,5
1,0.001,1000,32,0.001,0.99,-139.824771,6
1,0.001,1000,32,0.001,0.99,-124.393251,7
1,0.001,1000,32,0.001,0.99,-784.815924,8
1,0.001,1000,32,0.001,0.99,-779.998129,9
1,0.001,1000,32,0.001,0.99,-781.638849,10
1,0.001,1000,32,0.001,0.99,-259.123274,11
1,0.001,1000,32,0.001,0.99,-1497.703615,12
1,0.001,1000,32,0.001,0.99,-129.551554,13
1,0.001,1000,32,0.001,0.99,-260.202723,14
1,0.001,1000,32,0.001,0.99,-131.200843,15
1,0.001,1000,32,0.001,0.99,-268.697703,16
1,0.001,1000,32,0.001,0.99,-265.52881,17
1,0.001,1000,32,0.001,0.99,-453.94943,18
1,0.001,1000,32,0.001,0.99,-638.102946,19
1,0.001,1000,32,0.001,0.99,-125.029621,20
2,0.001,1000,32,0.01,0.5,-1281.122531,1
2,0.001,1000,32,0.01,0.5,-1345.527987,2
2,0.001,1000,32,0.01,0.5,-1214.822743,3
2,0.001,1000,32,0.01,0.5,-1502.259604,4
2,0.001,1000,32,0.01,0.5,-1515.706249,5
2,0.001,1000,32,0.01,0.5,-1351.991917,6
2,0.001,1000,32,0.01,0.5,-1363.922314,7
2,0.001,1000,32,0.01,0.5,-1432.611899,8
2,0.001,1000,32,0.01,0.5,-1497.109426,9
2,0.001,1000,32,0.01,0.5,-1507.457334,10
2,0.001,1000,32,0.01,0.5,-1317.175483,11
2,0.001,1000,32,0.01,0.5,-1336.936556,12
2,0.001,1000,32,0.01,0.5,-1307.827723,13
2,0.001,1000,32,0.01,0.5,-1394.694666,14
2,0.001,1000,32,0.01,0.5,-1219.251049,15
2,0.001,1000,32,0.01,0.5,-1498.42505,16
2,0.001,1000,32,0.01,0.5,-1386.378028,17
2,0.001,1000,32,0.01,0.5,-1207.746518,18
2,0.001,1000,32,0.01,0.5,-1388.390087,19
2,0.001,1000,32,0.01,0.5,-1240.161288,20
3,0.001,1000,32,0.01,0.99,-121.813277,1
3,0.001,1000,32,0.01,0.99,-241.036996,2
3,0.001,1000,32,0.01,0.99,-350.907587,3
3,0.001,1000,32,0.01,0.99,-249.932724,4
3,0.001,1000,32,0.01,0.99,-124.963347,5
3,0.001,1000,32,0.01,0.99,-1.675108,6
3,0.001,1000,32,0.01,0.99,-243.361882,7
3,0.001,1000,32,0.01,0.99,-364.679573,8
3,0.001,1000,32,0.01,0.99,-2.432996,9
3,0.001,1000,32,0.01,0.99,-116.888147,10
3,0.001,1000,32,0.01,0.99,-125.89025,11
3,0.001,1000,32,0.01,0.99,-121.103274,12
3,0.001,1000,32,0.01,0.99,-1.614196,13
3,0.001,1000,32,0.01,0.99,-115.970236,14
3,0.001,1000,32,0.01,0.99,-242.008985,15
3,0.001,1000,32,0.01,0.99,-129.217669,16
3,0.001,1000,32,0.01,0.99,-129.951416,17
3,0.001,1000,32,0.01,0.99,-249.235095,18
3,0.001,1000,32,0.01,0.99,-120.873885,19
3,0.001,1000,32,0.01,0.99,-256.012776,20
4,0.001,1000,64,0.001,0.5,-1443.957633,1
4,0.001,1000,64,0.001,0.5,-1450.118846,2
4,0.001,1000,64,0.001,0.5,-1444.559226,3
4,0.001,1000,64,0.001,0.5,-1491.705531,4
4,0.001,1000,64,0.001,0.5,-1443.716886,5
4,0.001,1000,64,0.001,0.5,-1313.39822,6
4,0.001,1000,64,0.001,0.5,-1436.345224,7
4,0.001,1000,64,0.001,0.5,-1514.664207,8
4,0.001,1000,64,0.001,0.5,-1457.792495,9
4,0.001,1000,64,0.001,0.5,-1374.636302,10
4,0.001,1000,64,0.001,0.5,-1496.980588,11
4,0.001,1000,64,0.001,0.5,-1334.386452,12
4,0.001,1000,64,0.001,0.5,-1353.512646,13
4,0.001,1000,64,0.001,0.5,-1449.168513,14
4,0.001,1000,64,0.001,0.5,-1479.691807,15
4,0.001,1000,64,0.001,0.5,-1436.356931,16
4,0.001,1000,64,0.001,0.5,-1468.248205,17
4,0.001,1000,64,0.001,0.5,-1262.034412,18
4,0.001,1000,64,0.001,0.5,-1393.951778,19
4,0.001,1000,64,0.001,0.5,-1431.650534,20
5,0.001,1000,64,0.001,0.99,-382.088963,1
5,0.001,1000,64,0.001,0.99,-0.438556,2
5,0.001,1000,64,0.001,0.99,-573.158071,3
5,0.001,1000,64,0.001,0.99,-1.958254,4
5,0.001,1000,64,0.001,0.99,-132.980159,5
5,0.001,1000,64,0.001,0.99,-266.173044,6
5,0.001,1000,64,0.001,0.99,-128.849274,7
5,0.001,1000,64,0.001,0.99,-262.561495,8
5,0.001,1000,64,0.001,0.99,-404.522031,9
5,0.001,1000,64,0.001,0.99,-405.85835,10
5,0.001,1000,64,0.001,0.99,-518.243612,11
5,0.001,1000,64,0.001,0.99,-263.214578,12
5,0.001,1000,64,0.001,0.99,-404.331555,13
5,0.001,1000,64,0.001,0.99,-134.435994,14
5,0.001,1000,64,0.001,0.99,-130.260371,15
5,0.001,1000,64,0.001,0.99,-267.11854,16
5,0.001,1000,64,0.001,0.99,-406.254447,17
5,0.001,1000,64,0.001,0.99,-1492.568126,18
5,0.001,1000,64,0.001,0.99,-403.15521,19
5,0.001,1000,64,0.001,0.99,-427.929616,20
6,0.001,1000,64,0.01,0.5,-1226.509675,1
6,0.001,1000,64,0.01,0.5,-1297.902977,2
6,0.001,1000,64,0.01,0.5,-1493.801393,3
6,0.001,1000,64,0.01,0.5,-1326.740453,4
6,0.001,1000,64,0.01,0.5,-1400.303396,5
6,0.001,1000,64,0.01,0.5,-1503.116895,6
6,0.001,1000,64,0.01,0.5,-1264.937573,7
6,0.001,1000,64,0.01,0.5,-1368.994267,8
6,0.001,1000,64,0.01,0.5,-1491.024625,9
6,0.001,1000,64,0.01,0.5,-1516.643747,10
6,0.001,1000,64,0.01,0.5,-1322.423261,11
6,0.001,1000,64,0.01,0.5,-1366.328246,12
6,0.001,1000,64,0.01,0.5,-1206.390217,13
6,0.001,1000,64,0.01,0.5,-1347.86013,14
6,0.001,1000,64,0.01,0.5,-1330.0834,15
6,0.001,1000,64,0.01,0.5,-1507.108777,16
6,0.001,1000,64,0.01,0.5,-1317.732185,17
6,0.001,1000,64,0.01,0.5,-1521.133173,18
6,0.001,1000,64,0.01,0.5,-1334.611683,19
6,0.001,1000,64,0.01,0.5,-1223.348274,20
7,0.001,1000,64,0.01,0.99,-243.492842,1
7,0.001,1000,64,0.01,0.99,-326.800175,2
7,0.001,1000,64,0.01,0.99,-123.83193,3
7,0.001,1000,64,0.01,0.99,-224.114885,4
7,0.001,1000,64,0.01,0.99,-0.62887,5
7,0.001,1000,64,0.01,0.99,-119.964604,6
7,0.001,1000,64,0.01,0.99,-245.326854,7
7,0.001,1000,64,0.01,0.99,-234.783577,8
7,0.001,1000,64,0.01,0.99,-113.829398,9
7,0.001,1000,64,0.01,0.99,-118.878645,10
7,0.001,1000,64,0.01,0.99,-118.348031,11
7,0.001,1000,64,0.01,0.99,-115.974619,12
7,0.001,1000,64,0.01,0.99,-113.841057,13
7,0.001,1000,64,0.01,0.99,-0.446048,14
7,0.001,1000,64,0.01,0.99,-121.16068,15
7,0.001,1000,64,0.01,0.99,-0.506925,16
7,0.001,1000,64,0.01,0.99,-125.682552,17
7,0.001,1000,64,0.01,0.99,-122.315259,18
7,0.001,1000,64,0.01,0.99,-118.769162,19
7,0.001,1000,64,0.01,0.99,-249.577734,20
8,0.001,1000,128,0.001,0.5,-1494.368752,1
8,0.001,1000,128,0.001,0.5,-1495.529105,2
8,0.001,1000,128,0.001,0.5,-1277.577407,3
8,0.001,1000,128,0.001,0.5,-1369.418677,4
8,0.001,1000,128,0.001,0.5,-1211.557816,5
8,0.001,1000,128,0.001,0.5,-1355.796345,6
8,0.001,1000,128,0.001,0.5,-1301.362423,7
8,0.001,1000,128,0.001,0.5,-1208.283107,8
8,0.001,1000,128,0.001,0.5,-1502.932734,9
8,0.001,1000,128,0.001,0.5,-1380.915112,10
8,0.001,1000,128,0.001,0.5,-0.550889,11
8,0.001,1000,128,0.001,0.5,-1390.475678,12
8,0.001,1000,128,0.001,0.5,-1232.117464,13
8,0.001,1000,128,0.001,0.5,-1346.168475,14
8,0.001,1000,128,0.001,0.5,-1496.757519,15
8,0.001,1000,128,0.001,0.5,-1378.686337,16
8,0.001,1000,128,0.001,0.5,-1352.211531,17
8,0.001,1000,128,0.001,0.5,-1503.393629,18
8,0.001,1000,128,0.001,0.5,-1380.974296,19
8,0.001,1000,128,0.001,0.5,-1304.984931,20
9,0.001,1000,128,0.001,0.99,-271.50022,1
9,0.001,1000,128,0.001,0.99,-655.19011,2
9,0.001,1000,128,0.001,0.99,-275.566765,3
9,0.001,1000,128,0.001,0.99,-637.821535,4
9,0.001,1000,128,0.001,0.99,-655.113045,5
9,0.001,1000,128,0.001,0.99,-658.005438,6
9,0.001,1000,128,0.001,0.99,-759.187889,7
9,0.001,1000,128,0.001,0.99,-669.747172,8
9,0.001,1000,128,0.001,0.99,-671.22334,9
9,0.001,1000,128,0.001,0.99,-1.695758,10
9,0.001,1000,128,0.001,0.99,-665.322772,11
9,0.001,1000,128,0.001,0.99,-565.422965,12
9,0.001,1000,128,0.001,0.99,-666.109787,13
9,0.001,1000,128,0.001,0.99,-817.737891,14
9,0.001,1000,128,0.001,0.99,-428.247232,15
9,0.001,1000,128,0.001,0.99,-664.804704,16
9,0.001,1000,128,0.001,0.99,-4.894157,17
9,0.001,1000,128,0.001,0.99,-802.924287,18
9,0.001,1000,128,0.001,0.99,-1.075632,19
9,0.001,1000,128,0.001,0.99,-670.200414,20
10,0.001,1000,128,0.01,0.5,-1313.243595,1
10,0.001,1000,128,0.01,0.5,-1301.324607,2
10,0.001,1000,128,0.01,0.5,-1321.928982,3
10,0.001,1000,128,0.01,0.5,-1252.273229,4
10,0.001,1000,128,0.01,0.5,-1495.276333,5
10,0.001,1000,128,0.01,0.5,-1290.021146,6
10,0.001,1000,128,0.01,0.5,-1498.609203,7
10,0.001,1000,128,0.01,0.5,-1495.187552,8
10,0.001,1000,128,0.01,0.5,-1273.090834,9
10,0.001,1000,128,0.01,0.5,-1497.532712,10
10,0.001,1000,128,0.01,0.5,-1190.046967,11
10,0.001,1000,128,0.01,0.5,-1238.081384,12
10,0.001,1000,128,0.01,0.5,-1341.238749,13
10,0.001,1000,128,0.01,0.5,-1217.807342,14
10,0.001,1000,128,0.01,0.5,-1495.832209,15
10,0.001,1000,128,0.01,0.5,-1335.685459,16
10,0.001,1000,128,0.01,0.5,-1302.573942,17
10,0.001,1000,128,0.01,0.5,-1283.454846,18
10,0.001,1000,128,0.01,0.5,-1264.714634,19
10,0.001,1000,128,0.01,0.5,-1170.184354,20
11,0.001,1000,128,0.01,0.99,-118.769845,1
11,0.001,1000,128,0.01,0.99,-119.86423,2
11,0.001,1000,128,0.01,0.99,-133.677901,3
11,0.001,1000,128,0.01,0.99,-339.668721,4
11,0.001,1000,128,0.01,0.99,-240.790429,5
11,0.001,1000,128,0.01,0.99,-120.72668,6
11,0.001,1000,128,0.01,0.99,-132.457609,7
11,0.001,1000,128,0.01,0.99,-4.502484,8
11,0.001,1000,128,0.01,0.99,-4.5172,9
11,0.001,1000,128,0.01,0.99,-124.021168,10
11,0.001,1000,128,0.01,0.99,-126.859538,11
11,0.001,1000,128,0.01,0.99,-323.398958,12
11,0.001,1000,128,0.01,0.99,-131.937066,13
11,0.001,1000,128,0.01,0.99,-125.53986,14
11,0.001,1000,128,0.01,0.99,-123.078325,15
11,0.001,1000,128,0.01,0.99,-128.048099,16
11,0.001,1000,128,0.01,0.99,-135.390154,17
11,0.001,1000,128,0.01,0.99,-231.902795,18
11,0.001,1000,128,0.01,0.99,-121.768908,19
11,0.001,1000,128,0.01,0.99,-127.5352,20
12,0.001,10000,32,0.001,0.5,-1216.367404,1
12,0.001,10000,32,0.001,0.5,-1386.974256,2
12,0.001,10000,32,0.001,0.5,-1511.909122,3
12,0.001,10000,32,0.001,0.5,-1180.248519,4
12,0.001,10000,32,0.001,0.5,-1307.984651,5
12,0.001,10000,32,0.001,0.5,-1366.398262,6
12,0.001,10000,32,0.001,0.5,-1371.792545,7
12,0.001,10000,32,0.001,0.5,-1352.223583,8
12,0.001,10000,32,0.001,0.5,-1208.914941,9
12,0.001,10000,32,0.001,0.5,-1235.030461,10
12,0.001,10000,32,0.001,0.5,-926.997287,11
12,0.001,10000,32,0.001,0.5,-1292.225193,12
12,0.001,10000,32,0.001,0.5,-1491.120428,13
12,0.001,10000,32,0.001,0.5,-1358.488157,14
12,0.001,10000,32,0.001,0.5,-1286.854551,15
12,0.001,10000,32,0.001,0.5,-1363.550649,16
12,0.001,10000,32,0.001,0.5,-1375.760333,17
12,0.001,10000,32,0.001,0.5,-1197.446537,18
12,0.001,10000,32,0.001,0.5,-1265.925426,19
12,0.001,10000,32,0.001,0.5,-1366.757317,20
13,0.001,10000,32,0.001,0.99,-948.155265,1
13,0.001,10000,32,0.001,0.99,-785.707445,2
13,0.001,10000,32,0.001,0.99,-903.205675,3
13,0.001,10000,32,0.001,0.99,-1498.172431,4
13,0.001,10000,32,0.001,0.99,-1491.247328,5
13,0.001,10000,32,0.001,0.99,-818.755163,6
13,0.001,10000,32,0.001,0.99,-908.006185,7
13,0.001,10000,32,0.001,0.99,-976.383084,8
13,0.001,10000,32,0.001,0.99,-928.502058,9
13,0.001,10000,32,0.001,0.99,-796.009026,10
13,0.001,10000,32,0.001,0.99,-910.823645,11
13,0.001,10000,32,0.001,0.99,-909.253794,12
13,0.001,10000,32,0.001,0.99,-920.589735,13
13,0.001,10000,32,0.001,0.99,-802.461575,14
13,0.001,10000,32,0.001,0.99,-914.794108,15
13,0.001,10000,32,0.001,0.99,-1500.875847,16
13,0.001,10000,32,0.001,0.99,-884.856566,17
13,0.001,10000,32,0.001,0.99,-888.493095,18
13,0.001,10000,32,0.001,0.99,-1494.742251,19
13,0.001,10000,32,0.001,0.99,-918.168091,20
14,0.001,10000,32,0.01,0.5,-1495.411666,1
14,0.001,10000,32,0.01,0.5,-1497.656082,2
14,0.001,10000,32,0.01,0.5,-1306.384319,3
14,0.001,10000,32,0.01,0.5,-1363.071571,4
14,0.001,10000,32,0.01,0.5,-1378.134689,5
14,0.001,10000,32,0.01,0.5,-984.506878,6
14,0.001,10000,32,0.01,0.5,-1356.960796,7
14,0.001,10000,32,0.01,0.5,-1299.726894,8
14,0.001,10000,32,0.01,0.5,-1339.624376,9
14,0.001,10000,32,0.01,0.5,-1248.711642,10
14,0.001,10000,32,0.01,0.5,-1276.383794,11
14,0.001,10000,32,0.01,0.5,-1294.186508,12
14,0.001,10000,32,0.01,0.5,-1354.566584,13
14,0.001,10000,32,0.01,0.5,-1281.573224,14
14,0.001,10000,32,0.01,0.5,-1378.802571,15
14,0.001,10000,32,0.01,0.5,-1359.625313,16
14,0.001,10000,32,0.01,0.5,-1299.511426,17
14,0.001,10000,32,0.01,0.5,-1304.182008,18
14,0.001,10000,32,0.01,0.5,-1503.12472,19
14,0.001,10000,32,0.01,0.5,-1346.607687,20
15,0.001,10000,32,0.01,0.99,-244.259238,1
15,0.001,10000,32,0.01,0.99,-123.438331,2
15,0.001,10000,32,0.01,0.99,-234.834164,3
15,0.001,10000,32,0.01,0.99,-122.600511,4
15,0.001,10000,32,0.01,0.99,-122.340827,5
15,0.001,10000,32,0.01,0.99,-114.445063,6
15,0.001,10000,32,0.01,0.99,-233.408416,7
15,0.001,10000,32,0.01,0.99,-123.248178,8
15,0.001,10000,32,0.01,0.99,-122.27198,9
15,0.001,10000,32,0.01,0.99,-1.718041,10
15,0.001,10000,32,0.01,0.99,-121.007493,11
15,0.001,10000,32,0.01,0.99,-121.380534,12
15,0.001,10000,32,0.01,0.99,-228.966721,13
15,0.001,10000,32,0.01,0.99,-250.08825,14
15,0.001,10000,32,0.01,0.99,-122.724141,15
15,0.001,10000,32,0.01,0.99,-240.045109,16
15,0.001,10000,32,0.01,0.99,-126.112504,17
15,0.001,10000,32,0.01,0.99,-2.59025,18
15,0.001,10000,32,0.01,0.99,-123.739191,19
15,0.001,10000,32,0.01,0.99,-237.735427,20
16,0.001,10000,64,0.001,0.5,-1497.504555,1
16,0.001,10000,64,0.001,0.5,-1339.669154,2
16,0.001,10000,64,0.001,0.5,-1349.347548,3
16,0.001,10000,64,0.001,0.5,-1442.748367,4
16,0.001,10000,64,0.001,0.5,-1404.620926,5
16,0.001,10000,64,0.001,0.5,-1425.786149,6
16,0.001,10000,64,0.001,0.5,-1407.31476,7
16,0.001,10000,64,0.001,0.5,-1337.912111,8
16,0.001,10000,64,0.001,0.5,-1295.74807,9
16,0.001,10000,64,0.001,0.5,-1493.422375,10
16,0.001,10000,64,0.001,0.5,-1491.219322,11
16,0.001,10000,64,0.001,0.5,-1491.003341,12
16,0.001,10000,64,0.001,0.5,-1443.748167,13
16,0.001,10000,64,0.001,0.5,-1411.403314,14
16,0.001,10000,64,0.001,0.5,-1519.964331,15
16,0.001,10000,64,0.001,0.5,-1498.469423,16
16,0.001,10000,64,0.001,0.5,-1492.142504,17
16,0.001,10000,64,0.001,0.5,-1443.861453,18
16,0.001,10000,64,0.001,0.5,-1500.127141,19
16,0.001,10000,64,0.001,0.5,-1376.554982,20
17,0.001,10000,64,0.001,0.99,-276.594856,1
17,0.001,10000,64,0.001,0.99,-135.046424,2
17,0.001,10000,64,0.001,0.99,-1.777582,3
17,0.001,10000,64,0.001,0.99,-1.139646,4
17,0.001,10000,64,0.001,0.99,-262.340341,5
17,0.001,10000,64,0.001,0.99,-138.923566,6
17,0.001,10000,64,0.001,0.99,-130.231716,7
17,0.001,10000,64,0.001,0.99,-127.931355,8
17,0.001,10000,64,0.001,0.99,-381.172709,9
17,0.001,10000,64,0.001,0.99,-305.000699,10
17,0.001,10000,64,0.001,0.99,-131.408288,11
17,0.001,10000,64,0.001,0.99,-256.355123,12
17,0.001,10000,64,0.001,0.99,-512.030867,13
17,0.001,10000,64,0.001,0.99,-271.729875,14
17,0.001,10000,64,0.001,0.99,-134.807541,15
17,0.001,10000,64,0.001,0.99,-133.25612,16
17,0.001,10000,64,0.001,0.99,-133.528736,17
17,0.001,10000,64,0.001,0.99,-526.485793,18
17,0.001,10000,64,0.001,0.99,-256.947279,19
17,0.001,10000,64,0.001,0.99,-1.821196,20
18,0.001,10000,64,0.01,0.5,-1281.24852,1
18,0.001,10000,64,0.01,0.5,-1358.272464,2
18,0.001,10000,64,0.01,0.5,-1354.111304,3
18,0.001,10000,64,0.01,0.5,-1326.249358,4
18,0.001,10000,64,0.01,0.5,-1493.410849,5
18,0.001,10000,64,0.01,0.5,-1334.276441,6
18,0.001,10000,64,0.01,0.5,-1500.415113,7
18,0.001,10000,64,0.01,0.5,-1317.579795,8
18,0.001,10000,64,0.01,0.5,-1320.110743,9
18,0.001,10000,64,0.01,0.5,-1351.659962,10
18,0.001,10000,64,0.01,0.5,-1309.894457,11
18,0.001,10000,64,0.01,0.5,-1510.655397,12
18,0.001,10000,64,0.01,0.5,-1308.889549,13
18,0.001,10000,64,0.01,0.5,-1495.949817,14
18,0.001,10000,64,0.01,0.5,-1245.438338,15
18,0.001,10000,64,0.01,0.5,-1312.771844,16
18,0.001,10000,64,0.01,0.5,-1324.667748,17
18,0.001,10000,64,0.01,0.5,-1300.287269,18
18,0.001,10000,64,0.01,0.5,-1325.406587,19
18,0.001,10000,64,0.01,0.5,-1408.05571,20
19,0.001,10000,64,0.01,0.99,-129.209574,1
19,0.001,10000,64,0.01,0.99,-2.638103,2
19,0.001,10000,64,0.01,0.99,-2.308793,3
19,0.001,10000,64,0.01,0.99,-230.148146,4
19,0.001,10000,64,0.01,0.99,-354.551854,5
19,0.001,10000,64,0.01,0.99,-353.137825,6
19,0.001,10000,64,0.01,0.99,-342.893936,7
19,0.001,10000,64,0.01,0.99,-228.13199,8
19,0.001,10000,64,0.01,0.99,-2.728345,9
19,0.001,10000,64,0.01,0.99,-132.608482,10
19,0.001,10000,64,0.01,0.99,-248.335614,11
19,0.001,10000,64,0.01,0.99,-121.217135,12
19,0.001,10000,64,0.01,0.99,-244.570095,13
19,0.001,10000,64,0.01,0.99,-355.890726,14
19,0.001,10000,64,0.01,0.99,-239.317807,15
19,0.001,10000,64,0.01,0.99,-120.561936,16
19,0.001,10000,64,0.01,0.99,-2.78523,17
19,0.001,10000,64,0.01,0.99,-356.864142,18
19,0.001,10000,64,0.01,0.99,-330.129143,19
19,0.001,10000,64,0.01,0.99,-131.189607,20
20,0.001,10000,128,0.001,0.5,-1222.986257,1
20,0.001,10000,128,0.001,0.5,-1492.572617,2
20,0.001,10000,128,0.001,0.5,-1371.292211,3
20,0.001,10000,128,0.001,0.5,-1027.013719,4
20,0.001,10000,128,0.001,0.5,-1291.520376,5
20,0.001,10000,128,0.001,0.5,-1295.375976,6
20,0.001,10000,128,0.001,0.5,-1268.882502,7
20,0.001,10000,128,0.001,0.5,-1354.721202,8
20,0.001,10000,128,0.001,0.5,-1186.02906,9
20,0.001,10000,128,0.001,0.5,-1328.736861,10
20,0.001,10000,128,0.001,0.5,-1143.134435,11
20,0.001,10000,128,0.001,0.5,-1269.179444,12
20,0.001,10000,128,0.001,0.5,-1237.828329,13
20,0.001,10000,128,0.001,0.5,-1286.727771,14
20,0.001,10000,128,0.001,0.5,-1308.202874,15
20,0.001,10000,128,0.001,0.5,-1502.644966,16
20,0.001,10000,128,0.001,0.5,-1317.730715,17
20,0.001,10000,128,0.001,0.5,-1327.184685,18
20,0.001,10000,128,0.001,0.5,-1493.970379,19
20,0.001,10000,128,0.001,0.5,-1278.324724,20
21,0.001,10000,128,0.001,0.99,-270.701311,1
21,0.001,10000,128,0.001,0.99,-1496.544181,2
21,0.001,10000,128,0.001,0.99,-272.271018,3
21,0.001,10000,128,0.001,0.99,-2.111621,4
21,0.001,10000,128,0.001,0.99,-265.370976,5
21,0.001,10000,128,0.001,0.99,-270.363828,6
21,0.001,10000,128,0.001,0.99,-1495.59177,7
21,0.001,10000,128,0.001,0.99,-137.125155,8
21,0.001,10000,128,0.001,0.99,-1490.943717,9
21,0.001,10000,128,0.001,0.99,-132.92181,10
21,0.001,10000,128,0.001,0.99,-436.578781,11
21,0.001,10000,128,0.001,0.99,-267.550139,12
21,0.001,10000,128,0.001,0.99,-280.983445,13
21,0.001,10000,128,0.001,0.99,-270.35342,14
